trial	soa	soundFirst	response	sta
542	122	0.6	0	0	1.2
543	123	2	0	1	1.2
544	124	2.4	0	1	1.2
545	125	1.6	0	1	1.2
546	126	0.8	0	0	1.2
547	127	0.8	0	0	1.2
548	128	2	0	1	1.2
549	129	2.4	0	1	1.2
550	130	1.2	0	0	1.2
551	131	1.6	0	0	1.2
552	132	1	0	0	1.2
553	133	0.6	0	0	1.2
554	134	0.6	0	0	1.2
555	135	1	0	0	1.2
556	136	2	0	1	1.2
557	137	2.4	0	1	1.2
558	138	1.2	0	0	1.2
559	139	1.6	0	1	1.2
560	140	0.8	0	0	1.2
561	1	0.8	0	1	0.6
562	2	0.4	0	0	0.6
563	3	1.2	0	1	0.6
564	4	0.5	0	1	0.6
565	5	0.3	0	0	0.6
566	6	0.6	0	1	0.6
567	7	1	0	1	0.6
568	8	0.8	0	0	0.6
569	9	0.6	0	0	0.6
570	10	1	0	1	0.6
571	11	0.5	0	0	0.6
572	12	0.4	0	0	0.6
573	13	0.3	0	0	0.6
574	14	1.2	0	1	0.6
575	15	0.4	0	0	0.6
576	16	0.3	0	0	0.6
577	17	1.2	0	1	0.6
578	18	0.6	0	0	0.6
579	19	1	0	1	0.6
580	20	0.8	0	1	0.6
581	21	0.5	0	0	0.6
582	22	0.4	0	0	0.6
583	23	0.3	0	0	0.6
584	24	0.5	0	0	0.6
585	25	0.6	0	1	0.6
586	26	1	0	1	0.6
587	27	0.8	0	1	0.6
588	28	1.2	0	1	0.6
589	29	1.2	0	1	0.6
590	30	1	0	1	0.6
591	31	0.4	0	0	0.6
592	32	0.6	0	0	0.6
593	33	0.8	0	0	0.6
594	34	0.3	0	0	0.6
595	35	0.5	0	0	0.6
596	36	0.6	0	0	0.6
597	37	0.3	0	0	0.6
598	38	0.4	0	0	0.6
599	39	1.2	0	1	0.6
600	40	1	0	1	0.6
601	41	0.8	0	1	0.6
602	42	0.5	0	0	0.6
603	43	0.5	0	0	0.6
604	44	0.6	0	0	0.6
605	45	0.3	0	0	0.6
606	46	1	0	1	0.6
607	47	1.2	0	1	0.6
608	48	0.8	0	1	0.6
609	49	0.4	0	0	0.6
610	50	0.8	0	1	0.6
611	51	0.6	0	0	0.6
612	52	0.5	0	0	0.6
613	53	0.4	0	0	0.6
614	54	1.2	0	1	0.6
615	55	1	0	1	0.6
616	56	0.3	0	0	0.6
617	57	0.8	0	1	0.6
618	58	0.4	0	0	0.6
619	59	1	0	1	0.6
620	60	1.2	0	1	0.6
621	61	0.6	0	1	0.6
622	62	0.3	0	0	0.6
623	63	0.5	0	0	0.6
624	64	1	0	1	0.6
625	65	0.5	0	0	0.6
626	66	0.3	0	0	0.6
627	67	0.8	0	1	0.6
628	68	1.2	0	1	0.6
